Grainger Blue Path	L1	Segment_Name	L2	Family_Name	L3	Category_Name	Gamut PIM Path	Gamut Category ID	Gamut Category Name	"Gamut Node ID
Node ID"	Gamut Node Name	Grainger-Gamut Terminal Node Mapping	Grainger_Attribute_Definition	Grainger_Category_Specific_Definition	Grainger Attribute Sample Values	Grainger_Attr_ID	Grainger_Attribute_Name	Identified Matching Gamut Attribute Name (use semi-colon to separate names)	Identified Matching Grainger Attribute Name (use semi-colon to separate names)	Analyst Notes	Taxonomist Notes	Gamut_Attribute_Name	Gamut_Attr_ID	Gamut Attribute Sample Values	Gamut_Attribute_Definition	Matching
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units	"This attribute is intended to capture if the product is used for residential and/or commercial purposes. The allowed values are Commercial, Residential, or Commercial/Residential."			165309	Commercial / Residential	Application								Grainger Only
"Electronics, Appliances, and Batteries > Appliances > Microwave Ovens"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	4632	Microwave Ovens	Building Furnishings > Appliances > Countertop Appliances > Microwave Ovens	8860	Building Furnishings	13184	Microwave Ovens	Microwave Ovens -- Microwave Ovens	This attribtue is intended to capture the interior capacity of the oven in units of cu. ft.			400050	Oven Capacity	Capacity								Grainger Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units				140961	Amps	Current								Grainger Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units				164967	Dryer Temp. Settings	dryer temperature setting								Grainger Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units	"Many products meet ""green"" standards established by a recognized organization such as Energy Star, Green Seal, Ecologo, etc. These organizations specialize in setting standards and evaluating performance for products that offer an environmentally preferab"			160477	Green Certification or Other Recognition	green certification								Grainger Only
"Electronics, Appliances, and Batteries > Appliances > Microwave Ovens"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	4632	Microwave Ovens	Building Furnishings > Appliances > Countertop Appliances > Microwave Ovens	8860	Building Furnishings	13184	Microwave Ovens	Microwave Ovens -- Microwave Ovens				160642	Outside Depth	Overall Height		Gamut name may be better suited as depth						Grainger Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units				101828	Height	Overall Height								Grainger Only
"Electronics, Appliances, and Batteries > Appliances > Microwave Ovens"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	4632	Microwave Ovens	Building Furnishings > Appliances > Countertop Appliances > Microwave Ovens	8860	Building Furnishings	13184	Microwave Ovens	Microwave Ovens -- Microwave Ovens				160641	Outside Height	Overall Length								Grainger Only
"Electronics, Appliances, and Batteries > Appliances > Microwave Ovens"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	4632	Microwave Ovens	Building Furnishings > Appliances > Countertop Appliances > Microwave Ovens	8860	Building Furnishings	13184	Microwave Ovens	Microwave Ovens -- Microwave Ovens				160173	Outside Width	Overall Width								Grainger Only
"Electronics, Appliances, and Batteries > Appliances > Washer Dryer Combos"	23717	"Electronics, Appliances, and Batteries"	23719	Appliances	23723	Washer Dryer Combos	Building Furnishings > Appliances > Standalone Appliances > Washing Machines & Dryers > Washer-Dryer Units	8860	Building Furnishings	13212	Washer-Dryer Units	Washer Dryer Combos -- Washer-Dryer Units				104053	Width	Overall Width								Grainger Only
