unit_group_id,uoms_in_group,unit_group_name
87,m/sq sec,Acceleration
143,ppm,Accuracy Rate
139,air watts,Air Watts
144,dBm,Amplitude Ratio
34,deg.; °,Angle
152,180°/sec; 270°/sec; 360°/sec; 90°/sec,Angular Speed
4,acre; sq cm; sq ft; sq in; sq m; sq mm; sq. ft.; sq. in.; sq. yd.; sq yd; sq. m,Area
81,ga; micron; mil; mm; ga.,Bag Thickness - 3
54,Ah; mAh,Battery Capacity - 2
89,bpm,Blows Per Minute
104,F; mF; nF; pF; uF,Capacitance
135,milliOhms/ft; ohm/1000 ft; pF/ft,Capacitance Over Distance
141,lb; lb/sq ft; lb/sq in; oz; lb.; oz.,Capacity - 8
188,x g,Centrifugal Force
178,bit,Color Depth
145,GB; KB; MB; TB,Computer Memory Capacity
189,fl oz/gal; mg/L; mol/L; normality; ppb; ppm; ppt; % v/v; % w/w,Concentration
186,mS; mS/cm; S; S/cm; microsiemens/cm; microseimens/cm,Conductance
181,BTU/hr; tons; BtuH,Cooling Capacity
153,Bills/min; Coins/min; cpm; Notes/min,Counts per Minute
151,acre/gal; sq ft/gal; sq m/gal,Coverage Area
133,in/rev; mm/rev,Cross Feed
155,A; kA; mA; nA; picoA; uA,Current
168,A/ft; mA/ft; uA/ft,Current - Linear
134,A/hr,Current per Hour
123,sec/stroke,Cycle Time
137,Gbps; Kbps; Mbit/s; MBps; mbps,Data Transfer Speed
136,dBi,dBi - Antenna Gain
107,lb/ft,Density - Linear
157,g/L; lb/cu ft; lb/cu in; lb/gal; lb/sq yd; mg/cu m; mcg/mL,Density - Volume
23,kV/in; kV/mm; mV/m; V/in; V/m; V/mil,Dielectric Strength
125,cu cm/rev; cu in/rev,Displacement
80,ipr,Downfeed Rate
173,GeV; keV; megaelectronvolt; millielectronvolt; PeV; TeV; eV; BeV,ElectronVolt
99,BTU/hr; BtuH; kWh,Energy - 2
25,g/min; gpd; gph; gpm; kg/hr; lb/hr; lb/min; oz/min; lb./hr.,Flow - Mass
39,cc/min; CFH; cfm; cu in/min; cu in/sec; cu m/hr; gpd; gph; gpm; L/h; lpm; L/sec; mL/min; pt/hr; qt/hr; qt/min; scfh; scfm; scim; slpm; cu. in./min.; m3/hr.; Lpm,Flow 2
119,cc/hr; cc/min; oz/min; qt/min,Flow 3
122,g/stroke; oz/min; oz/stroke; qt/rotation,Flow 5
162,C; cu ft; cu in; fl oz; gal; L; mL; pt; qt; tbsp; tsp; cu. ft.; cu. in.; fl. oz.; gal.; pt.; qt.,Fluid Capacity - General
163,cc; fl oz; µl; mL; kL; dL; dkL; cL; uL; fl. oz. ,Fluid Capacity - Precision
179,point,Font Size
112,kgf; kN; lbf; N; ozf; daN,Force
73,GHz; Hz; kHz; MHz; μHz; uHz,Frequency
180,gph; lb/hr; lb./hr.,Fuel Consumption
175,MP,Graphic Resolution
70,hp; HP,Horsepower
113,psi; Tonf,Hydraulic Pressure
177,ft-lbf,Impact Energy
91,ft-lb; J; ft.-lb.,Impact Force
82,ipm,Impacts per Minute
24,BTU; BTU-ft/sq ft-hr-° F; cal/sq cm; W/mK; mcf; Btu; cal./cm2,Indident Energy
147,H; µH; mH; uH,Inductance Henry
149,K,Kelvin - Lighting
2,"cm; ft; in; m; mm; yd; ""; ft.; in.; km; yd.",Length - General
60,"cm; dm; in; micron; mm; ""; in.",Length - Precise
131,ft; m; mi; yd; ft.; km; mi.; yd.,Length 6
132,CD; cp; fc; lm; lm/W; lux; mcd; nit; CP,Light
169,J; kWh,Light Energy Output
174,TVL,Lines of Horizontal Resolution
182,Gs,Magnetism
110,Diopter,Magnification
51,carat; ct ,Mass of Gemstone or Pearl
46,"cm; ga; in; micron; mil; mm; ""; in.; ga.",Material Thickness
108,den; g; Gauge; g/sq in; g/sq m; lb; oz; oz/sq ft; oz/sq yd; ozt; cg; lb.; mesghal; oz.,Material Weight
187,° C/min; ° F/min,Melt Ramp Rate
185,g/mol,Molar Mass
127,g-sq cm; kg-m sq; lb-in sq; lb sq ft,Moment of Inertia
94,opm,Orbits per Minute
140,kpps; Mpps; pps,Packets per Second
183,"in; mesh; micron; ""; in.",Particle Size
6,%,Percentage
170,perm; perm-in,Permeability
190,pH,pH
148,kilopoints; megapoints; points,Points Length
197,μm; um,Pore Size
105,GW; hp; kVA; kW; mW; TW; VA; W; HP,Power
